"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 1 1 FALSE 0.529411764705882 TRUE 0.529411764705882 "30,0,10" "10,0,30"
1 1 FALSE 1 2 FALSE 0.470588235294118 FALSE 0.470588235294118 "30,0,10" "10,30,0"
1 2 NA NA 1 FALSE 0 NA NA "NA,NA,NA" "0,0,0"
1 2 NA NA 2 FALSE 0 NA NA "NA,NA,NA" "0,0,0"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 TRUE 0.823529411764706 1 TRUE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 TRUE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 FALSE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 FALSE 0.176470588235294 2 FALSE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0.823529411764706 1 FALSE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 FALSE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 TRUE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 TRUE 0.176470588235294 2 TRUE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0.823529411764706 1 FALSE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 FALSE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 TRUE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 TRUE 0.176470588235294 2 TRUE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0.823529411764706 1 FALSE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 FALSE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 TRUE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 TRUE 0.176470588235294 2 TRUE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0.823529411764706 1 FALSE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 FALSE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 TRUE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 TRUE 0.176470588235294 2 TRUE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0.823529411764706 1 FALSE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 FALSE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 TRUE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 TRUE 0.176470588235294 2 TRUE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
"expNo" "Rank" "isCorrect" "prob" "verifyRank" "verifyIsCorrect" "verifyProb" "match" "jointProb" "computedSeq" "verifySeq"
1 1 FALSE 0.823529411764706 1 FALSE 0.588235294117647 TRUE 0.484429065743945 "20,10,0" "0,10,20"
1 1 FALSE 0.823529411764706 2 FALSE 0.411764705882353 FALSE 0.339100346020761 "20,10,0" "0,20,10"
1 2 TRUE 0.176470588235294 1 FALSE 0.823529411764706 FALSE 0.145328719723183 "20,0,10" "10,20,0"
1 2 TRUE 0.176470588235294 2 TRUE 0.176470588235294 TRUE 0.0311418685121107 "20,0,10" "10,0,20"
